Nombre,Total ($),Cantidad,Location
HAMBURGUESA DE CARNE c/papas,1159246.0,132.0,Centro
EMPANADA UNIDAD,917825.0,716.0,Centro
TORTITAS,865782.0,1535.0,Centro
MEDIALUNA,759542.0,1076.0,Centro
MEDIALUNA/SACRAMENTO RELLENO,683515.0,717.0,Centro
PIZZA ESPECIALES jamon / peperoni / veggie / napo,643168.0,52.0,Centro
ROLL UNIDAD,590162.0,494.0,Centro
SORRENTINOS PREPARADOS,572280.0,78.0,Centro
CAFE GRANDE,506011.2,194.0,Centro
"TRIPLE unidad jyq, roque, salame, crudo",495027.0,409.0,Centro
MEDIALUNA DE JAMON Y QUESO,382436.0,296.0,Centro
GRAND PAIN AU CHOCOLAT (GRAN PAN O CHOCOLA),371200.0,232.0,Centro
LAMPONI,367449.0,301.0,Centro
SORRENTINOS JQ/Queso/4 Quesos/Calabaza,358920.0,31.0,Centro
RAVIOLES Ternera/Ricota/Verdura/Calabaza,327500.0,39.0,Centro
DOCENA EMPANADAS,322178.0,25.0,Centro
PAN COMUN X KG,320822.0,91.78,Centro
POSTRE chocotorta / brownie / cheescake,300270.0,60.0,Centro
ÑOQUIS PREPARADOS,298690.0,44.0,Centro
PAÑUELITO/MEMBRILLITO,288634.0,297.0,Centro
CAFE+ 2 MEDIALUNA,280500.0,79.0,Centro
DOCENA TRIPLES,238080.0,19.0,Centro
"GASEOSA 1,5L",229076.0,50.0,Centro
2 SORRENTINOS EL 2DO AL 15OFF,226255.0,11.0,Centro
RAVIOLES 2DA 15%,220150.0,14.0,Centro
Pasta del dia RAVIOLES,212200.0,46.0,Centro
"GASEOSA 0,5L",210285.0,94.0,Centro
RAVIOLES PREPARADOS,209728.0,31.0,Centro
PORCION DE PIZZA,204400.0,72.0,Centro
DOCENA MEDIALUNAS,193232.0,25.0,Centro
2 RAVIOLES EL 2DO AL 15OFF,189995.0,13.0,Centro
PIZZA MUZZA,188200.0,17.0,Centro
Fideos tallarines  PREPARADO,182077.0,38.0,Centro
CROISSANT RELLENO,179800.0,62.0,Centro
CAFÉ  MEDIANO,179400.0,78.0,Centro
ENSALADA LA VENE,149400.0,25.0,Centro
SUSCRIPCIÓN ALMUERZOS,147000.0,3.0,Centro
BAGEL jyq / veggie / huevo / cheddar y lomito,142660.0,32.0,Centro
Pasta del dia  TALLARINES,130400.0,28.0,Centro
PAN DE MOLDE X UNIDAD zanahoria/centeno/integral,129920.0,29.0,Centro
SALSA BOLOGNESA,127400.0,26.0,Centro
CAFE + 1 MEDIALUNA,121800.0,42.0,Centro
SMALL MUZZA,121720.0,16.0,Centro
SANDWICH POLLO Y PALTA,120820.0,22.0,Centro
CAFE MEDIANO para llevar,120460.0,59.0,Centro
TORTITA JAMON QUESO,117616.0,95.0,Centro
