Nombre,Total ($),Cantidad,Location
TORTITAS,831736.0,1511.0,Palero
SORRENTINOS PREPARADOS,788869.0,103.0,Palero
PIZZA JAMON/VEGGIE/PEPE,787044.0,54.0,Palero
RAVIOLES PREPARADOS,623970.0,96.0,Palero
MEDIALUNA,616440.0,854.0,Palero
MEDIALUNA/SACR. RELLENO,589950.0,614.0,Palero
EMPANADA CARNE / J&Q / POLLO / CHOCLO,535478.0,471.0,Palero
ROLL UNIDAD,489369.0,385.0,Palero
TRIPLE UNIDAD,455196.0,367.0,Palero
MEDIALUNA JAMON QUESO,403700.0,317.0,Palero
DOCENA MEDIALUNAS,402686.0,57.0,Palero
DOCENA EMPANADAS,302740.0,26.0,Palero
PAÑUELITO/MEMBRILLITO,301576.0,293.0,Palero
CAFE MEDIUM,277126.0,126.0,Palero
SORRENTINOS QU/JYQ/INTE/CALA,261900.0,23.0,Palero
PAN COMUN X KG,259390.4,103.21,Palero
PASTA DEL DIA : tagliatelle con salsa fileto/crema y quesito rallado U OTRO,253119.0,53.0,Palero
RAVIOLES 2 UNIDAD 15%dto,252895.0,17.0,Palero
RAVIOLES RIC/VER/CALA/CARNE,223190.0,27.0,Palero
LAMPONI,214056.0,175.0,Palero
3 SORRENTINOS 3RA 30%OFF,206010.0,7.0,Palero
TAGLIATELLE PREPARADOS con salsa fileto/crema y quesito rallado,202911.0,43.0,Palero
CROISSANT RELLENO,202050.0,70.0,Palero
"GASEOSA 1,5L",197400.0,41.0,Palero
PAN MOLDE X UNIDAD,191600.0,45.0,Palero
SORRENTINOS 2DA UNIDAD 15% DES,188145.0,9.0,Palero
2DO PAN MOLDE 15% OFF,178710.0,23.0,Palero
"TAGLIATELLE HUEVO BOLSA 0,5KG",173400.0,33.0,Palero
RAVIOLES 30%OFF,170640.0,8.0,Palero
CAFE LARGE,167919.0,66.0,Palero
SALSA BOLOGNESA,160700.0,31.0,Palero
GRAND PAIN AU CHOCOLAT (PAN O SHOCOLA),158400.0,99.0,Palero
MENU EJECUTIVO:PASTA+BEBIDA+POSTRE,158000.0,20.0,Palero
POSTRES GRANDES CHES/CHOCO/BROW,143946.0,34.0,Palero
PIZZA MUZZA,139670.0,13.0,Palero
SUSCRIPCION DE ALMUERZO,127000.0,3.0,Palero
MILA C/GUARNICION,123425.0,17.0,Palero
MINI ALFAJOR BOLSA X6,121180.0,46.0,Palero
TORTA GRANDE,120120.0,7.0,Palero
ÑOQUIS PREPARADOS,117627.0,23.0,Palero
ENSALADA LA VENE,114283.0,19.37,Palero
6 FACTURAS SURTIDAS,110536.0,20.0,Palero
TAGLIATELLE 2DA 15% FIDEOS,108225.0,13.0,Palero
CAFE GRANDE PARA LLEVAR,107660.0,43.0,Palero
DOCENA TORTITAS,106500.0,21.0,Palero
MILA NAPO C/GUARNICION,99570.0,8.0,Palero
YOGUR C/ GRANOLA (carta),86000.0,20.0,Palero
AGNOLOTTIS PREPARADOS,83975.0,16.0,Palero
QUESO RALLADO GRANDE 100 GM,81095.0,26.0,Palero
BUDIN NARANJA / LIMON,80600.0,19.0,Palero
SUSCRIPCION CAFE MEDIANO O MEMBRESIA,78000.0,4.0,Palero
"GASEOSA 0,5L",77059.0,50.0,Palero
JUGO NATURAL ( carta),68800.0,16.0,Palero
TUCO,67200.0,21.0,Palero
SANDWICH POLLO Y PALTA,65880.0,11.0,Palero
DOCENA TRIPLES,65280.0,5.0,Palero
ENSALADA DE FRUTAS  (carta),59920.0,11.0,Palero
PASTA DEL DIA + BEBIDA,59000.0,10.0,Palero
GRAM MENDOCINO 2 MEDIALUNAS+JUGO,58500.0,13.0,Palero
AMERICANO P/UNO ( carta),56260.0,5.0,Palero
TARTA,56100.0,11.0,Palero
PIZZA MUZARRELA (carta),51860.0,4.0,Palero
6X5 EMPANADAS,51540.0,8.0,Palero
COMBO MENDOCINO,51200.0,16.0,Palero
TORTITA JAMON Y QUESO,50530.0,33.0,Palero
"ÑOQUIS PAPA CAJA 0,500 KG",50340.0,8.0,Palero
NAPO BOX,49600.0,4.0,Palero
AMERICANO P2,49320.0,2.0,Palero
PAN CASERO,47640.0,18.0,Palero
CAFE SMALL,43700.0,23.0,Palero
PAN DULCE- chocolate y almendra,41965.0,3.0,Palero
SALSA POMAROLA,40120.0,7.0,Palero
PAN DULCE- frutas y almendras,39700.0,4.0,Palero
PORCION DE TARTA + ENSALADA,39200.0,8.0,Palero
PAN DE MINI LECHE,38080.0,9.96,Palero
SALSA CREMA,38000.0,12.0,Palero
BUDIN PREMIUM,36220.0,7.0,Palero
RAVIOLES PY,33720.0,3.0,Palero
"AGUA MINERAL 0,5L",33110.0,15.0,Palero
ÑOQUIS 15 EN LA SEGUNDA,32745.0,3.0,Palero
MANZANITAS,32300.0,34.0,Palero
ENSALADA POLLO GRILLADO (CARTA),27600.0,4.0,Palero
TORTITA ( carta),27300.0,42.0,Palero
3 TAGLIATELLE 3RA 30%OFF,24300.0,2.0,Palero
BAGEL CON JAMON Y QUESO ( carta),24300.0,6.0,Palero
PAN DULCE- relleno choco y corazon de dd,23000.0,2.0,Palero
BAGEL VEGUIIE,22710.0,5.0,Palero
MAYO V 270G MAYONESA VEGANA,22515.0,3.0,Palero
SUSCRIPCION CAFE GRANDE MEMBRESIA,22500.0,1.0,Palero
ITALIANO: INFUSION+ 2 MEDIALUNAS+JUGO CHICO,22500.0,3.0,Palero
GASEOSA LATA 300ML,22500.0,19.0,Palero
QUESO RALLADO CHICO 50GR,22500.0,9.0,Palero
ROLL ( carta),22400.0,14.0,Palero
PAN PANINI,22200.0,6.0,Palero
"GASEOSA 0,5 (carta)",22100.0,13.0,Palero
GASEOSA 1.5L ( carta),21500.0,5.0,Palero
JARRA LIMONADA 1L ( carta),21200.0,4.0,Palero
BAGEL VEGGIE ( carta),20850.0,5.0,Palero
6X5 TORTITAS PY,19800.0,5.0,Palero
AGUA SABORIZADA 1.5,19800.0,6.0,Palero
ARGENTO infusion+2tosta+queso+dulce+jugo chico,19600.0,3.0,Palero
MEDIALUNA ( carta),18700.0,17.0,Palero
BAGUETTIN JYQ,18000.0,4.0,Palero
MEDIALUNA JYQ ( carta),18000.0,12.0,Palero
MINI TORTA,18000.0,4.0,Palero
CAFÉ XL (carta),17400.0,6.0,Palero
PROMO BUDIN CLASICO + BUDIN PREMIUM 15OFF,16550.0,2.0,Palero
XL MEAT LOVERS,16300.0,1.0,Palero
PEPERONI BOX,15999.0,1.0,Palero
ALFAJOR,15820.0,10.0,Palero
2DO BUDIN 15% OFF LIMON/NARANJA,15540.0,2.0,Palero
SACRAMENTO (carta),15200.0,16.0,Palero
TARTA DULCE cabsha / coco / ricota,15000.0,1.0,Palero
ICE LATTE (carta),13800.0,6.0,Palero
PAPPARDELLE,13399.0,3.0,Palero
BAGEL HUEVO REVUELTO,12600.0,3.0,Palero
MEAT LOVERS BOX,12600.0,1.0,Palero
"AGUA MINERAL 1,5",11600.0,4.0,Palero
VASO LIMONADA ( carta),11100.0,3.0,Palero
SANWICH MILA POLLO,10600.0,2.0,Palero
FRAPPE LA VENE ( carta),10400.0,4.0,Palero
CHOCOLATADA (carta),10000.0,4.0,Palero
MUZA/NAPO/PEPPE SMALL,9600.0,1.0,Palero
MILANO: INFUS+JUGO+PALTA+HUEV+TOSTA,8900.0,1.0,Palero
CAFE + 1 MEDIALUNA,8700.0,3.0,Palero
vaso domo soda,8400.0,5.0,Palero
CROISSANT MASA MADRE,8000.0,5.0,Palero
BAGEL SEMILLA X2,7600.0,4.0,Palero
SANWICH POLLO Y PALTA (carta),6900.0,1.0,Palero
TRIPLE CRUDO,6600.0,6.0,Palero
LAMPONI ( carta),6100.0,4.0,Palero
POSTRE PY,5850.0,1.0,Palero
TE GRANDE,5700.0,3.0,Palero
TOSTADO DE MIGA X3+CAFE G,5500.0,1.0,Palero
ADICIONAL,5000.0,1.0,Palero
3 SAND MIGA + LATA,4900.0,1.0,Palero
SALSA PESTO CHICA,4900.0,1.0,Palero
BAGUETIN JYQ + BEBIDA LATA,4900.0,1.0,Palero
"SODA 2,15 L",4500.0,2.0,Palero
PANINI JYQ/LOMITO/SALAME,4500.0,1.0,Palero
PAÑUELITO ( carta),4400.0,4.0,Palero
LICUADO ( carta),4300.0,1.0,Palero
DANES: INFUSION + ROLL,4200.0,1.0,Palero
CAFE MEDIANO P/LL,3900.0,2.0,Palero
BAGEL HUEVO REVUELTO (carta),3900.0,1.0,Palero
TORTITA JAMON QUESO ( carta),3600.0,3.0,Palero
SANDWICH LOMITO CHEDDAR,3600.0,1.0,Palero
TAGLIATELLE SALTEADOS C/ VERDURAS,3500.0,1.0,Palero
MENU KIDS ( TFIDEOS O ÑOQUIS) PORCION PEQUEÑA,3500.0,1.0,Palero
COOKIE COFFE,2900.0,1.0,Palero
CAPUCCINO ( carta),2500.0,1.0,Palero
PORCION BUDIN X2,1900.0,1.0,Palero
AGUA 500cc (carta),1700.0,1.0,Palero
EMPANADA CARTA,1580.0,2.0,Palero
Mini jugo sodin,1500.0,1.0,Palero
MANZANITAS ( carta),1100.0,1.0,Palero
CUP QUESO CREMA,150.0,1.0,Palero
