Nombre,Total ($),Cantidad,Location
MEDIALUNA,2208276.0,3110.0,Rotonda
Producto Genérico,1695583.95,164.0,Rotonda
TORTITA,1325850.0,2411.0,Rotonda
MEDIALUNA/SACRAMENTO RELLENO,821750.0,865.0,Rotonda
CAFE MEDIANO,798700.0,359.0,Rotonda
ROLL UNIDAD,664800.0,554.0,Rotonda
CAFE GRANDE,611700.0,232.0,Rotonda
Lamponi,608880.0,490.0,Rotonda
MEDIALUNA JAMON QUESO,598000.0,460.0,Rotonda
EMPANADA UNIDAD,591450.0,449.0,Rotonda
"SORRENTINOS JQ QUESO CALAB INTEGRALES CAJA 0,5 KG",588400.0,52.0,Rotonda
RAVIOLES RICOTA CALAB ACELGA TERNERA CAJA,527200.0,64.0,Rotonda
Fideos tallarines PREP,514500.0,111.0,Rotonda
SORRENTINO PREPARADOS,492700.0,62.0,Rotonda
RAV. PREPARADOS,468400.0,73.0,Rotonda
TRIPLE JQ/ROQ/SALA/CRUDO,432000.0,360.0,Rotonda
PAN COMUN X KG,430879.8,116.454,Rotonda
PAÑUELITO PASTELERA/DULCE DLECHE,398050.0,419.0,Rotonda
12x10 medialunas.,397664.0,40.0,Rotonda
6x5 tortitas surtidas,390720.0,101.0,Rotonda
Roll,383040.0,266.0,Rotonda
CROISSANT RELLENO,353800.0,122.0,Rotonda
Sorrentinos con salsa y queso,339640.0,50.0,Rotonda
GRAN MENDOCINO medialuna,336300.0,73.0,Rotonda
JUGO DE FRUTA NATURAL,328200.0,78.0,Rotonda
DOCENA EMPANADAS,278200.0,21.0,Rotonda
COMBO MILANO infusion+palta+huevo+jugo chico,268800.0,30.0,Rotonda
2 porciones de sorrentinos,262080.0,14.0,Rotonda
"FIDEOS HUEVO CALAB VERDES REMO PAPAR 0,5KG",241000.0,52.0,Rotonda
Ñoquis del día con tuco y queso,236850.0,35.0,Rotonda
ENSALADA LA VENE,230100.0,39.0,Rotonda
GASEOSA 1.5 CAFETERIA,219400.0,42.0,Rotonda
PAN MOLDE X UNIDAD (CENTENO/INTEGRAL/ZANAHORIA),214200.0,51.0,Rotonda
JARRA LIMONADA CAF.,207100.0,37.0,Rotonda
TOSTADO X3 CAFETERIA,198900.0,51.0,Rotonda
GRAND PAIN AU CHOCOLAT (GRAN PAN O CHOCOLA),196800.0,123.0,Rotonda
GASEOSA 1.5,191400.0,42.0,Rotonda
AMERICANO VENE PARA 2,182700.0,9.0,Rotonda
COMBO MENDOCINO medialuna,182600.0,56.0,Rotonda
12X 10 empanadas,181440.0,9.0,Rotonda
SALSA BOLOGNESA,156800.0,32.0,Rotonda
GRAN MENDOCINO con tortita y medialuna,155600.0,34.0,Rotonda
30%OFF X3 RAVIOLES,154170.0,7.0,Rotonda
30%OFF X3 SORRENTINOS,153630.0,5.0,Rotonda
POSTRE CHESS/CHOC/BROW,153000.0,34.0,Rotonda
GASEOSA 0.5 CAFETERA,149100.0,70.0,Rotonda
QUESO RALLADO 100G,148000.0,46.0,Rotonda
PIZZA ESPECIAL jamon/peperoni/veggie,138200.0,13.0,Rotonda
DOCENA MEDIALUNAS,138000.0,20.0,Rotonda
COMBO ITALIANO infusion grande + medialuna jyq,137800.0,18.0,Rotonda
CAFE CHICO,135800.0,68.0,Rotonda
ÑOQUIS PREPARADOS,135700.0,23.0,Rotonda
MEDIALUNA CAFETERIA,130900.0,119.0,Rotonda
SANDWICH POLLO Y PALTA,128700.0,23.0,Rotonda
TORTITA CAFETERIA,127200.0,159.0,Rotonda
Sorrentinos 15% off en la 2da unidad,125430.0,6.0,Rotonda
Pañuelito,122820.0,115.0,Rotonda
Caja de Sorrentinos 500 gr,121320.0,9.0,Rotonda
COMBO MENDOCINO tortita,121200.0,37.0,Rotonda
SALSA TUCO,119000.0,34.0,Rotonda
FRAPPE LA VENE,116900.0,39.0,Rotonda
Muzzarella,109000.0,18.0,Rotonda
COMBO ARGENTO infusion+2tosta+queso+dulce+jugo chico,107100.0,15.0,Rotonda
Chocotorta para dos,105300.0,18.0,Rotonda
Desayuno AMERICANO,104020.0,7.0,Rotonda
Pancito tiernizado 100g,100344.0,226.0,Rotonda
DOCENA TORTITAS,99000.0,18.0,Rotonda
Ravioles Con Salsa Y Queso,97800.0,13.0,Rotonda
GRAN MENDOCINO con tortita,96300.0,21.0,Rotonda
SUSCRIPCION CAFE GRANDE,96000.0,4.0,Rotonda
LASAGNA,94500.0,9.0,Rotonda
PIZZA MUZZARELLA,93800.0,10.0,Rotonda
LIMONADA vaso,92400.0,23.0,Rotonda
Ravioles 15% off 2da unidad,91020.0,6.0,Rotonda
POSTRE CHESS/CHOCOTORTA/BROWNIE CAFETERIA,90000.0,20.0,Rotonda
BUDIN DE LIMON / NARANJA,88200.0,21.0,Rotonda
MINI TORTA P/ LLEVAR,85500.0,19.0,Rotonda
LICUADO,84000.0,20.0,Rotonda
GASEOSA 500CC,83300.0,47.0,Rotonda
Desayuno ITALIANO,78300.0,8.0,Rotonda
MINI TORTA CAFETERIA,78100.0,18.0,Rotonda
Café Grande,77700.0,21.0,Rotonda
Café Mediano,77420.0,25.0,Rotonda
MEDIALUNA JYQ CAFETERIA,76800.0,48.0,Rotonda
Pan dulce corazon DULCE DE LECHE,74750.0,7.0,Rotonda
AMERICANO VENE PARA 1,74300.0,7.0,Rotonda
Sacramento,73830.0,69.0,Rotonda
CERVEZA GRANDE 1L TODAS,72500.0,15.0,Rotonda
Tortita Raspada,71940.0,109.0,Rotonda
Cheesecake para dos,70200.0,12.0,Rotonda
QUESO RALLADO 50G,69400.0,27.0,Rotonda
MUZZA + 1 CERVEZA litro,69100.0,5.0,Rotonda
TARTA UNIDAD,68600.0,14.0,Rotonda
Pappardelle Con Salsa Bolognesa Casera,67188.0,12.0,Rotonda
CAFE XL,66700.0,23.0,Rotonda
ACEITE ZUELO 500ML,65700.0,3.0,Rotonda
PAN CASERO,64800.0,24.0,Rotonda
Sorrentinos + Salsa a elección + Quesito + Pan De Regalo,63960.0,7.0,Rotonda
Triple Jamón Y Queso X Unidad,63360.0,48.0,Rotonda
MEDIALUNA/SACRAMENTOS CAFETERIA,61600.0,44.0,Rotonda
TORTITA JAMÓN Y QUESO,61450.0,50.0,Rotonda
AGUA SABORIZADA 0.5,61400.0,35.0,Rotonda
Pizza italiana muzzarella,61200.0,6.0,Rotonda
COMBO DANES infusicion grande + roll,60500.0,15.0,Rotonda
TRIPLES DOCENA,60000.0,5.0,Rotonda
Medialunas rellenas,59808.0,56.0,Rotonda
CAPUCCINO,59800.0,20.0,Rotonda
TOSTADAS X2 QUESO CREMA Y DULCE CAFETERIA,59400.0,18.0,Rotonda
Empanada individual,59400.0,44.0,Rotonda
SUBMARINO,58300.0,19.0,Rotonda
SALSA POMAROLA,58000.0,10.0,Rotonda
Caja De Ravioles Frescos,57720.0,6.0,Rotonda
MILANESA DE POLLO NAPO C/ tagliattelle,56500.0,7.0,Rotonda
MANZANITAS,56070.0,63.0,Rotonda
COMBO RASPADITA-inf grande + tortita+ dips dulce y manteca,55300.0,11.0,Rotonda
TE GRANDE,55100.0,29.0,Rotonda
Sándwich fresco de pollo y palta,54960.0,8.0,Rotonda
ROLL CAFETERIA,54400.0,34.0,Rotonda
BAGEL jyq / lomito / veggie,54000.0,12.0,Rotonda
AGUA SODA 0.5 CAFETERIA,51900.0,27.0,Rotonda
6 Alfajores Artesanales,51840.0,6.0,Rotonda
Medialuna Jamón Y Queso,51480.0,33.0,Rotonda
DESAYUNO AMERICANO PARA DOS,51340.0,2.0,Rotonda
Pasta del dia TAGLIATELLE FIDEOS,51100.0,11.0,Rotonda
Budín artesanal,50400.0,10.0,Rotonda
AGUA 1.5 CAFETERIA,49600.0,16.0,Rotonda
Tortita Con Jamón Y Queso,47520.0,36.0,Rotonda
"ÑOQUIS PAPA CALAB CAJA 0,500 KG",47200.0,8.0,Rotonda
Budín Premium Artesanal,46080.0,8.0,Rotonda
YOGURT CON GRANOLA,44000.0,10.0,Rotonda
"Bagel de jamón, queso y huevo",43220.0,9.0,Rotonda
SUSCRIPCION CAFE MEDIANO,41400.0,2.0,Rotonda
Brownie para dos,40950.0,7.0,Rotonda
AGUA SABORIZADA 0.5 CAFETERIA,40600.0,19.0,Rotonda
JUGO SODIN,39850.0,20.0,Rotonda
Pan dulce FRUTOS Y ALMENDRAS,39600.0,4.0,Rotonda
TOMATE FRESCO CONSERVA,39500.0,5.0,Rotonda
Gaseosa Coca-Cola 1.5 L.,39130.0,7.0,Rotonda
Ensalada De Frutas,38200.0,8.0,Rotonda
Tallarines Del Día Con Tuco Queso Y Pancito,37800.0,7.0,Rotonda
AGUA 1.5,37700.0,13.0,Rotonda
Budin Premium + Pan Dulce con chocolates y almendras,37518.0,2.0,Rotonda
TARTAS dulces CABSHA/COCO/RICOTA,37500.0,3.0,Rotonda
Salame Y Queso -Sándwich De Miga Triple,35640.0,27.0,Rotonda
GASEOSA LATA,34900.0,25.0,Rotonda
Fideos 15% off 2da unidad,34040.0,4.0,Rotonda
LAMPONI CAFETERIA,33600.0,21.0,Rotonda
Paquete fideos 500 g,33360.0,6.0,Rotonda
Ensalada Fresca Del Día,31900.0,4.0,Rotonda
Pan mignon 100g,31524.0,71.0,Rotonda
SALSA CREMA,31500.0,9.0,Rotonda
Agnelottis preparados,31400.0,5.0,Rotonda
3 Empanadas De Carne Cortada A Cuchillo,31200.0,8.0,Rotonda
Tarta Del Dia Individual,30000.0,5.0,Rotonda
Tarta De Coco Grande,30000.0,2.0,Rotonda
Pote salsa bolognesa,29400.0,5.0,Rotonda
pan molde 2da unidad 15% off,28860.0,4.0,Rotonda
Jugo De Naranja Natural Grande,28000.0,5.0,Rotonda
SORR CAMARON PREPARADO PORCION X6,28000.0,2.0,Rotonda
Bagel cafeteria,27800.0,6.0,Rotonda
Pasta del dia TAGLIATELLE / TALLARINES con limonada,27500.0,5.0,Rotonda
VINAGRE ZUELO 250ml,27000.0,2.0,Rotonda
YOGURT CAFETERIA,26800.0,6.0,Rotonda
Pan de molde integral con semillas,26640.0,6.0,Rotonda
CHOCOLATADA,26500.0,9.0,Rotonda
PAN DULCE Chocolate Y Mas Almendras,25998.0,2.0,Rotonda
MUZZA + 2 LATAS CERVEZA,25800.0,2.0,Rotonda
SAND POLLO PALTA CAFETERIA,25600.0,4.0,Rotonda
30% OFF X3 FIDEOS,25380.0,2.0,Rotonda
Tortita Pinchada,25080.0,38.0,Rotonda
AGUA/SODA 0.5,24450.0,14.0,Rotonda
MENU EJECUTIVO fideos limonada postre,24300.0,3.0,Rotonda
ENSALADA DE FRUTA,24000.0,6.0,Rotonda
BUDIN PREMIUM,24000.0,5.0,Rotonda
Pan de molde de zanahoria,22200.0,5.0,Rotonda
POLLO Y PALTA CAFETERIA,22000.0,4.0,Rotonda
Alfajor La Vene,21840.0,14.0,Rotonda
Jamón Crudo - Sándwich De Miga Triple,21840.0,14.0,Rotonda
Caja ñoquis 500 gr,21240.0,3.0,Rotonda
TORTA GRANDE,20500.0,1.0,Rotonda
Cafe Mediano + Medialuna,19515.0,6.0,Rotonda
ALFAJOR,18200.0,14.0,Rotonda
Queso rallado reggianito 100 g,17400.0,5.0,Rotonda
Agnolotti con Salsa y Queso,16837.0,3.0,Rotonda
PAÑUELITOS PASTELERA,16800.0,12.0,Rotonda
Pote tuco,16800.0,4.0,Rotonda
BUDIN PREMIUM 2DO 15% OFF,16650.0,2.0,Rotonda
SANGUCHE PANINI lomito / jyq / peperoni v,16200.0,4.0,Rotonda
ÑOQUIS X3 30%OFF,15930.0,1.0,Rotonda
Tarta Ricota Grande,15000.0,1.0,Rotonda
BAGUETIN jamon queso / veggie,14800.0,4.0,Rotonda
Porcion de tarta + ensalada,14700.0,3.0,Rotonda
Tortita De Hoja,14520.0,22.0,Rotonda
Roquefort Y Jamón - Sandwich De Miga Triple,14520.0,11.0,Rotonda
BUDIN COMUN 2DO 15% OFF,14430.0,2.0,Rotonda
Pizza italiana especial,13860.0,1.0,Rotonda
Pan Dulce Relleno,13800.0,1.0,Rotonda
MUZZA + 1 GASEOSA 1.5,13500.0,1.0,Rotonda
COPA DE VINO,13200.0,4.0,Rotonda
CERVEZA ANDES ORIGEN LATA,12300.0,3.0,Rotonda
Papardelle,11280.0,2.0,Rotonda
PORCION TORTA,9648.0,4.0,Rotonda
Agnelottis 400gr CAJA,9500.0,1.0,Rotonda
Bagel vegetariano,9360.0,2.0,Rotonda
FRUTAS TROZADAS.,9000.0,2.0,Rotonda
Alfajor SIN TACC,8998.0,2.0,Rotonda
Pan casero 400g,8880.0,2.0,Rotonda
PAN TIERNIZADO MINI DE LECHE X KG,8776.4,2.372,Rotonda
FERNET (medida + lata),8600.0,2.0,Rotonda
BAGUEL JYQ/HUEVO,8400.0,4.0,Rotonda
Refresco Coca Cola 500Ml,8400.0,4.0,Rotonda
CERVEZA LATA CAFETERIA,8200.0,2.0,Rotonda
Adicional HUEVOS REVUELTOS,8200.0,2.0,Rotonda
Pan arabe x3un,8100.0,3.0,Rotonda
CAFE GALLETA,7500.0,3.0,Rotonda
"AGUA SABORIZADA 1,5",7200.0,2.0,Rotonda
PAÑUELITOS DDL,7000.0,5.0,Rotonda
Pasta del dia TAGLIATELLE FIDEOS + lata,6500.0,1.0,Rotonda
